title,category,address,Postal Code,latitude,longitude
Anytime Fitness,Gym,"9 Tampines Street 32, #02-01 Tampines Mart, Singapore 529286",529286,1.3543125,103.9601875
Lab Studios East Coast,Yoga studio,"135/137 E Coast Rd, #03-01 directly above Zaffron Kitchen, Singapore 428820",428820,1.3061875,103.9050625
24ACEFIT,Fitness center,"320 Serangoon Road 18-13 Centrium Square, Singapore 218108",218108,1.3108125,103.8548125
Mobilus Chinatown,Gym,"90, Block C Eu Tong Sen St, #01-11, Singapore 059811",59811,1.2831875,103.8415625
Gold's Gym Personal Training,Personal trainer,"67 Frankel Ave, Singapore 458194",458194,1.3156875,103.9188125
1Fiesta Jurong East,Fitness center,"131 Jurong Gateway Rd, #03-257, Singapore 600131",600131,1.3345625,103.7401875
1nfinite Academy,Muay Thai boxing gym,"17b Circular Rd, #3rd floor, Singapore 049373",49373,1.2874375,103.8489375
Anytime Fitness,Gym,"3 Simei Street 6, #03-25/26, Eastpoint Mall, Singapore 528833",528833,1.3428125,103.9530625
Anytime Fitness Queensway,Gym,"Queensway Shopping Centre Queensway 03-51 1, Singapore 149053",149053,1.2873125,103.8035625
Anytime Fitness Jalan Besar,Gym,"Rehau Building 1, 01-00 King George's Ave, Singapore 208557",208557,1.3070625,103.8586875
Anytime Fitness Upper Thomson,Gym,"246R Upper Thomson Rd, #01-01, Singapore 574370",574370,1.3539375,103.8341875
Anytime Fitness Hwi Yoh CC,Gym,"23 Serangoon North Ave 4, #01-01 Hwi Yoh Community Centre, Singapore 555857",555857,1.3744375,103.8736875
Fitness Bravo,Gym,"762 North Bridge Rd, Singapore 198730",198730,1.3033125,103.8596875
Fitness First @ AMK Hub,Gym,"53 Ang Mo Kio Ave 3, #B1-36, Singapore 569933",569933,1.3696875,103.8486875
Elevate 360,Gym,"8A Maju Ave, Garden Estate, Singapore 556686",556686,1.3648125,103.8656875
Fitness First @ One Raffles Quay,Gym,"1 Raffles Quay, #08-01 One Raffles Quay, Singapore 048583",48583,1.2811875,103.8516875
Centum Fitness Lab,Fitness center,"18 Sin Ming Ln, #06-07 Midview City, Singapore 573960",573960,1.3593125,103.8344375
Anytime Fitness Tampines (formerly known as Tampines North),Gym,"506 Tampines Central 1, #03-361, Singapore 520506",520506,1.3559375,103.9458125
Anytime Fitness New Tech Park,Gym,"151 Lor Chuan, #01-12, NTP+ 556741",556741,1.3513125,103.8616875
Move to Live,Gym,"8A Biomedical Grove, #01-20, Singapore 138648",138648,1.3020625,103.7935625
Mobilus Clarke Quay,Gym,"20 Upper Circular Rd, #B1-10/16 The Riverwalk, Singapore 058416",58416,1.2889375,103.8483125
F45 Training Upper Thomson,Gym,"183 Upper Thomson Rd, #B1-02/03 183, Longhaus 574429",574429,1.3509375,103.8355625
Singa Gym,Gym,"1 Tampines North Dr. 1, #01-19, Singapore 528559",528559,1.3718125,103.9338125
Anytime Fitness ACE The Place CC,Gym,"120 Woodlands Ave 1, #02-01 ACE The Place Community Club, Singapore 739069",739069,1.4275625,103.7920625
The Fesique Lab,Gym,"42D N Canal Rd, Singapore 059298",59298,1.2871875,103.8468125
Vigeo: SG Personal Trainer | Training Studio And Gym at Dhoby Ghaut,Personal trainer,"6 Fort Canning Rd, YWCA Fort Canning, Singapore 179494",179494,1.2975625,103.8449375
Fight G,Boxing gym,"41 N Canal Rd, Singapore 059297",59297,1.2870625,103.8469375
Anytime Fitness Woodgrove,Gym,"30, Woodlands Avenue, Woodgrove Dr, #01-20/21/22 The Woodgrove, Singapore 739065",739065,1.4293125,103.7809375
The Gym Pod @ 462 Crawford Lane,Gym,"462 Crawford Ln, #01-49, Singapore 190462",190462,1.3044375,103.8610625
Body Fit Training One North,Gym,"1 Fusionopolis Walk, #01-03 Solaris, Singapore 138628",138628,1.2980625,103.7903125
Breathe Pilates - Galaxis,Pilates studio,"1, 1-04 Fusionopolis Pl, Singapore 138522",138522,1.3000625,103.7883125
The Faculty of Calisthenics and Yoga,Gym,"723A North Bridge Rd, Singapore 198691",198691,1.3028125,103.8588125
THE LIONS DEN,Gym,"36 Robinson Road B1, #02, Singapore 068877",68877,1.2813125,103.8499375
Anytime Fitness,Gym,"20 Choa Chu Kang Street 52, #03-01, Singapore 689286",689286,1.3949375,103.7446875
Anytime Fitness Choa Chu Kang Centre,Gym,"309 Choa Chu Kang Ave 4, #03-01, Singapore 680309",680309,1.3851875,103.7456875
GymKraft,Gymnastics center,"1 Stadium Pl, #01-69/70 Wave Mall, Singapore 397638",397638,1.3025625,103.8735625
Anytime Fitness NorthShore plaza,Gym,"408 Northshore Drive, #01-20/21, Northshore Dr, I 22/23, Singapore 820408",820408,1.4169375,103.9021875
