ID,school_name,road_name,postal_code,facilities,Longitude,Latitude
23,St. Gabriel'S Secondary School,Serangoon Avenue 1,556140,Indoor Sports Hall/Chargeable Field,103.8757343,1.346644165
24,Swiss Cottage Secondary School,Bukit Batok Street 34,659322,Indoor Sports Hall,103.7503961,1.364717421
25,Temasek Primary School,Bedok South Ave 3,469300,Indoor Sports Hall/Free-To-Play Field,103.9455907,1.317706782
26,Townsville Primary School,Ang Mo Kio Ave 10,569730,Indoor Sports Hall/Free-To-Play Field,103.8538261,1.360032625
27,Waterway Primary School,Punggol Drive,828802,Indoor Sports Hall/Free-To-Play Field,103.9186216,1.398827996
28,North Vista Primary School,Compassvale Link,544974,Indoor Sports Hall,103.8958542,1.382893392
29,Oasis Primary School,Edgefield Plains,828716,Indoor Sports Hall,103.9109964,1.40440925
30,Changkat Changi Secondary School,23 Simei Street 3,529894,Chargeable Field,103.9527251,1.340361136
31,Chestnut Drive Secondary School,58 Chestnut Drive,679301,"Chargeable Field, Basketball Court",103.7707999,1.368908697
32,Chua Chu Kang Primary School,20 Choa Chu Kang Avenue 2,689905,Free To Play Field,103.7418221,1.377584079
33,Choa Chu Kang Secondary School,3 Teck Whye Crescent,688845,Chargeable Field,103.7518783,1.383190286
34,Clementi Primary School,8 Clementi Avenue 3,129903,Indoor Sports Hall,103.7629667,1.31505731
35,Clementi Town Secondary School,10 Clementi Avenue 3,129904,"Chargeable Field, Indoor Sports Hall",103.7620206,1.315539134
36,Clementi Woods Secondary School,170 West Coast Road,127443,Chargeable Field,103.7651186,1.30611629
37,Commonwealth Secondary School,698 West Coast Road,608784,"Chargeable Field, Indoor Sports Hall",103.7456374,1.319203963
38,Compassvale Secondary School,51 Compassvale Crescent,545083,Chargeable Field,103.8998472,1.396140834
39,Coral Primary School,20 Pasir Ris Street 51,518902,Free To Play Field,103.9506486,1.368425766
40,Coral Secondary School,31 Pasir Ris Street 51,518901,"Chargeable Field, Indoor Sports Hall",103.9489725,1.367246846
41,Corporation Primary School,31 Jurong West Street 24,648347,Free To Play Field,103.7075784,1.35148549
42,Crescent Girls' School,357 Tanglin Road,247961,"Chargeable Field, Indoor Sports Hall",103.8175445,1.293319475
43,Damai Primary School,52 Bedok Reservoir Crescent,479226,Free To Play Field,103.9212119,1.335607041
44,Damai Secondary School,4800 Bedok Reservoir Road,479229,Chargeable Field,103.9264171,1.337545479
45,Da Qiao Primary School,8 Ang Mo Kio Street 54,569185,Free To Play Field,103.8589936,1.371811515
46,Deyi Secondary School,1 Ang Mo Kio Street 42,569277,Chargeable Field,103.8522811,1.366622357
47,Dunearn Secondary School,21 Bukit Batok West Avenue 2,659204,Chargeable Field,103.7449534,1.363648854
